Column1;ROBOT B4;_1
792;SR_SOUDER; p_reb_prg
808;SR_SOUDER; p_reb_prg
844;SR_SOUDER; p_repli
907;SR_SOUDER; p_reb_prg
1397;SR_SOUDER; lscs2003267000
1398;SR_SOUDER; lscs2003267100
1399;SR_SOUDER; lscs2003267800
1404;SR_SOUDER; lscs2003267900
1408;SR_SOUDER; lscs2002842500
1409;SR_SOUDER; lspac002906800
1410;SR_SOUDER; lspac002906700
1411;SR_SOUDER; lspac002906600
1412;SR_SOUDER; lspac006170400
1413;SR_SOUDER; lspac002906400
1414;SR_SOUDER; lspac006171000
1415;SR_SOUDER; lspac002906300
1416;SR_SOUDER; lspac002906200
1417;SR_SOUDER; lspac002906100
1418;SR_SOUDER; lscs1002842300
1423;SR_SOUDER; lspac002905100
1424;SR_SOUDER; lscs1002842400
1429;SR_SOUDER; lscs1003268200
1430;SR_SOUDER; lscs1003267700
1435;SR_SOUDER; lscs1003267600
1440;SR_SOUDER; lscs1003267500
1441;SR_SOUDER; lscs1003267400
1442;SR_SOUDER; lscs1003266200
1443;SR_SOUDER; lscs1003266100
1444;SR_SOUDER; lscs1003266000
1449;SR_SOUDER; lscs1002842000
1450;SR_SOUDER; lspac002900900
1451;SR_SOUDER; lspac002901000
1452;SR_SOUDER; lspac002901100
1453;SR_SOUDER; lspac006170500
1454;SR_SOUDER; lspac002901300
1455;SR_SOUDER; lspac006169900
1456;SR_SOUDER; lspac002901600
1457;SR_SOUDER; lspac002901700
1458;SR_SOUDER; lspac002901800
1459;SR_SOUDER; lscs2002842200
1463;SR_SOUDER; lscs2003266900
1468;SR_SOUDER; lscs2003266800
1472;SR_SOUDER; lscs2002842100
1473;SR_SOUDER; lspac002904800
1474;SR_SOUDER; lspac002904700
1475;SR_SOUDER; lspac002904600
1476;SR_SOUDER; lspac006170200
1477;SR_SOUDER; lspac002904400
1478;SR_SOUDER; lspac006170800
1479;SR_SOUDER; lspac002904300
1480;SR_SOUDER; lspac002904200
1481;SR_SOUDER; lspac002904100
1482;SR_SOUDER; lscs1002841900
1486;SR_SOUDER; lscs1003265900
1487;SR_SOUDER; lscs1003265800
1492;SR_SOUDER; lscs1003265600
1493;SR_SOUDER; lscs1003265500
1498;SR_SOUDER; lscs1002841500
1499;SR_SOUDER; lspac002878500
1500;SR_SOUDER; lspac002878600
1501;SR_SOUDER; lspac002878700
1502;SR_SOUDER; lspac002878800
1509;SR_SOUDER; lspac002878900
1510;SR_SOUDER; lspac002879000
1515;SR_SOUDER; lspac002879100
1516;SR_SOUDER; lspac002879200
1517;SR_SOUDER; lspac002879300
1518;SR_SOUDER; lspac002879400
1519;SR_SOUDER; lscs2002841700
1524;SR_SOUDER; lscs2004621500
1525;SR_SOUDER; lscs2002841600
1526;SR_SOUDER; lspac002883300
1527;SR_SOUDER; lspac002883200
1531;SR_SOUDER; lspac002883100
1532;SR_SOUDER; lspac002883000
1536;SR_SOUDER; lspac002882900
1537;SR_SOUDER; lspac002882800
1541;SR_SOUDER; lspac002882700
1542;SR_SOUDER; lspac002882600
1543;SR_SOUDER; lspac002882500
1544;SR_SOUDER; lspac002882400
1545;SR_SOUDER; lscs1002841400
1546;SR_SOUDER; lscs1004621400
1551;SR_SOUDER; lscs1005331700
1559;SR_SOUDER; lscsd004573702
1560;SR_SOUDER; lscs2003266400
1561;SR_SOUDER; lscs2003266500
1566;SR_SOUDER; lscs2003266700
1579;SR_SOUDER; lscs2003266600
1586;SR_SOUDER; lscs2003266600_1
1593;SR_SOUDER; lscs1003265700
1597;SR_SOUDER; lscsg004573701
1635;SR_SOUDER; lscs2002942400
1636;SR_SOUDER; lscsg002940402
1637;SR_SOUDER; lscsg002940502
1642;SR_SOUDER; lscsg002940602
1643;SR_SOUDER; lscsg002940702
1644;SR_SOUDER; lsdcd002932302
1649;SR_SOUDER; lscsg002940802_B
1650;SR_SOUDER; lscsg002940902
1651;SR_SOUDER; lscsg002941002
1656;SR_SOUDER; lscsg002941202
1669;SR_SOUDER; lscsg002941302
1680;SR_SOUDER; lscs2002948300
1681;SR_SOUDER; lscs2002947600
1682;SR_SOUDER; lscs2002948400
1687;SR_SOUDER; lscs2002839500_B
1697;SR_SOUDER; lscs2002839600_B
1702;SR_SOUDER; lscs2002947700
1711;SR_SOUDER; lscsg002952001
1712;SR_SOUDER; lscs1002947400
1713;SR_SOUDER; lscs1002947300
1718;SR_SOUDER; lscs1002839400_B
1719;SR_SOUDER; lspac002893200
1720;SR_SOUDER; lspac002893300
1721;SR_SOUDER; lspac002893400
1722;SR_SOUDER; lspac006169000
1723;SR_SOUDER; lspac002893500
1724;SR_SOUDER; lspac006167800
1725;SR_SOUDER; lspac002893600
1726;SR_SOUDER; lspac002893700
1727;SR_SOUDER; lspac002893800
1732;SR_SOUDER; lspac002893100
1736;SR_SOUDER; lspac002893000
1737;SR_SOUDER; lspac002892900
1738;SR_SOUDER; lspac006168400
1739;SR_SOUDER; lspac002892800
1740;SR_SOUDER; lspac006169600
1741;SR_SOUDER; lspac002892700
1742;SR_SOUDER; lspac002892600
1743;SR_SOUDER; lspac002892500
1744;SR_SOUDER; lscs1002839300_B
1749;SR_SOUDER; lsdc1002933000
1750;SR_SOUDER; lscs1002947200
1751;SR_SOUDER; lscs1002947100
1756;SR_SOUDER; lscs1002942300
1757;SR_SOUDER; lscsd002941201
1763;SR_SOUDER; lscsd002941001
1764;SR_SOUDER; lscsd002940901
1765;SR_SOUDER; lscsd002940801
1766;SR_SOUDER; lsdcg002932401
1771;SR_SOUDER; lscs1002839000_B
1772;SR_SOUDER; lspac002890400
1773;SR_SOUDER; lspac002890500
1774;SR_SOUDER; lspac002890600
1775;SR_SOUDER; lspac006168800
1776;SR_SOUDER; lspac002890700
1777;SR_SOUDER; lspac006167600
1778;SR_SOUDER; lspac002890800
1779;SR_SOUDER; lspac002890900
1780;SR_SOUDER; lspac002891000
1781;SR_SOUDER; lscs2002839200_B
1786;SR_SOUDER; lscs2002839100_B
1787;SR_SOUDER; lspac002890300
1788;SR_SOUDER; lspac002890200
1789;SR_SOUDER; lspac002890100
1790;SR_SOUDER; lspac006168200
1791;SR_SOUDER; lspac002890000
1792;SR_SOUDER; lspac006169400
1793;SR_SOUDER; lspac002889900
1794;SR_SOUDER; lspac002889800
1795;SR_SOUDER; lspac002889700
1796;SR_SOUDER; lscs1002838900_B
1801;SR_SOUDER; lsdcg002932301
1802;SR_SOUDER; lscsd002940701
1803;SR_SOUDER; lscsd002940601
1804;SR_SOUDER; lscsd002940501
1805;SR_SOUDER; lscsd002940401
1811;SR_SOUDER; lscs1002838200_B
1812;SR_SOUDER; lspac002867100
1813;SR_SOUDER; lspac002867200
1814;SR_SOUDER; lspac006171300_B
1819;SR_SOUDER; lspac002867300
1820;SR_SOUDER; lspac004679300
1821;SR_SOUDER; lspac006171700
1822;SR_SOUDER; lspac002867400
1823;SR_SOUDER; lspac002867500
1828;SR_SOUDER; lspac006172100_B
1829;SR_SOUDER; lspac002867600
1830;SR_SOUDER; lspac002867700
1831;SR_SOUDER; lscs2002838400_B
1836;SR_SOUDER; lscs2002838300
1837;SR_SOUDER; lspac002872000
1838;SR_SOUDER; lspac002871900
1839;SR_SOUDER; lspac002871800
1840;SR_SOUDER; lspac002871700
1841;SR_SOUDER; lspac002871600
1842;SR_SOUDER; lspac002871500
1843;SR_SOUDER; lspac002871400
1844;SR_SOUDER; lspac002871300
1845;SR_SOUDER; lspac002871200
1846;SR_SOUDER; lspac002871100
1847;SR_SOUDER; lspac002871000
1848;SR_SOUDER; lspac002870900
1878;SR_SOUDER; lscs2002942400
1879;SR_SOUDER; lscsg002940402
1880;SR_SOUDER; lscsg002940502
1885;SR_SOUDER; lscsg002940602
1886;SR_SOUDER; lscsg002940702
1887;SR_SOUDER; lsdcd002932302
1892;SR_SOUDER; lscsg002940802
1893;SR_SOUDER; lscsg002940902
1894;SR_SOUDER; lscsg002941002
1895;SR_SOUDER; lscsg002941202
1906;SR_SOUDER; lscsg002941302
1916;SR_SOUDER; lscs2002948300
1917;SR_SOUDER; lscs2002947600
1918;SR_SOUDER; lscs2002948400
1928;SR_SOUDER; lscs2002947700
1929;SR_SOUDER; lscs2002947700_1
1937;SR_SOUDER; lscsg002952001
1938;SR_SOUDER; lscs1002947400
1939;SR_SOUDER; lscs1002947400_1
